419	73	29
419	73	29
417	72	28
417	72	28
380	68	28
380	68	28
379	66	28
379	66	28
355	64	28
355	64	28
353	63	27
353	63	27
346	61	26
346	61	26
346	61	26
346	61	26
343	59	26
343	59	26
334	57	25
334	57	25
332	56	25
332	56	25
328	55	24
328	55	24
316	53	22
316	53	22
309	51	21
309	51	21
303	50	20
303	50	20
284	47	17
284	47	17
277	46	16
277	46	16
268	45	15
268	45	15
260	44	14
260	44	14
245	42	12
245	42	12
232	39	10
232	39	10
213	37	10
213	37	10
210	36	10
210	36	10
200	35	9
200	35	9
191	32	9
191	32	9
191	31	9
191	31	9
188	30	9
188	30	9
182	29	9
182	29	9
178	27	9
178	27	9
178	26	9
178	26	9
167	24	8
167	24	8
153	22	6
153	22	6
137	20	5
137	20	5
131	19	4
131	19	4
125	18	3
125	18	3
115	16	2
115	16	2
109	14	2
109	14	2
102	13	2
102	13	2
92	11	2
92	11	2
92	10	2
92	10	2
92	10	2
92	10	2
89	9	2
89	9	2
67	8	2
67	8	2
66	7	1
66	7	1
59	6	1
59	6	1
41	5	1
41	5	1
16	2	0
16	2	0
